ctryCode,loCode,sampled,majorPorts90,majorPorts95,majorPorts99,major_Ports90byTrip,major_Ports95byTrip,major_Ports99byTrip
BEL,BEBBG,no,minor,minor,minor,minor,major,major
BEL,BENIE,no,minor,minor,major,major,major,major
BEL,BEOST,yes,major,major,major,major,major,major
BEL,BEZEE,yes,major,major,major,major,major,major
DEU,DEACC,no,minor,minor,minor,minor,minor,minor
DEU,DEBKE,no,minor,minor,minor,minor,minor,minor
DEU,DEBUM,yes,minor,minor,major,minor,minor,major
DEU,DECUX,yes,minor,major,major,minor,minor,minor
DEU,DEFEZ,no,minor,minor,minor,minor,minor,minor
DEU,DEHHF,no,minor,minor,minor,minor,minor,minor
DEU,DELIS,no,minor,minor,minor,minor,minor,minor
DEU,DENOE,no,minor,minor,minor,minor,minor,minor
DEU,DENRD,no,minor,minor,minor,minor,minor,minor
DEU,DEPEL,no,minor,minor,minor,minor,minor,minor
DEU,DEWYK,no,minor,minor,minor,minor,minor,minor
DNK,DKALK,no,minor,minor,minor,major,major,major
DNK,DKANH,no,minor,minor,minor,minor,minor,major
DNK,DKARD,no,minor,minor,minor,minor,minor,minor
DNK,DKARG,no,minor,minor,minor,minor,minor,minor
DNK,DKBAG,no,minor,minor,minor,minor,minor,minor
DNK,DKBKH,no,minor,minor,minor,minor,minor,major
DNK,DKBNP,no,minor,minor,major,major,major,major
DNK,DKDRA,no,minor,minor,minor,minor,minor,minor
DNK,DKEBJ,yes,minor,minor,minor,minor,minor,minor
DNK,DKEBT,no,minor,minor,minor,minor,minor,minor
DNK,DKFAB,no,minor,minor,minor,minor,minor,minor
DNK,DKFDH,no,minor,minor,minor,major,major,major
DNK,DKFJP,no,minor,minor,minor,minor,minor,major
DNK,DKGDM,no,minor,minor,minor,minor,minor,minor
DNK,DKGLE,no,minor,minor,major,major,major,major
DNK,DKGLY,no,minor,minor,minor,minor,minor,minor
DNK,DKGRE,no,minor,major,major,major,major,major
DNK,DKHAN,yes,major,major,major,major,major,major
DNK,DKHAS,no,minor,minor,minor,minor,minor,major
DNK,DKHIR,yes,major,major,major,major,major,major
DNK,DKHNB,yes,minor,minor,minor,minor,minor,minor
DNK,DKHOH,no,minor,minor,minor,minor,minor,major
DNK,DKHRG,no,minor,minor,minor,minor,minor,minor
DNK,DKHSU,no,minor,minor,minor,minor,minor,minor
DNK,DKHUN,no,minor,minor,minor,minor,major,major
DNK,DKHVS,yes,major,major,major,major,major,major
DNK,DKJEG,no,minor,minor,minor,minor,minor,minor
DNK,DKKHF,no,minor,minor,minor,minor,minor,minor
DNK,DKKTD,no,minor,minor,minor,minor,minor,minor
DNK,DKLGR,no,minor,minor,minor,minor,minor,major
DNK,DKLIL,no,minor,minor,minor,minor,minor,major
DNK,DKLKK,no,minor,minor,minor,major,major,major
DNK,DKLNG,no,minor,minor,minor,minor,minor,minor
DNK,DKLNS,no,minor,minor,minor,minor,minor,minor
DNK,DKNBG,no,minor,minor,minor,minor,minor,minor
DNK,DKNRR,no,minor,minor,minor,minor,major,major
DNK,DKODN,no,minor,minor,major,major,major,major
DNK,DKOTB,yes,minor,minor,major,major,major,major
DNK,DKQSH,no,minor,minor,minor,minor,minor,major
DNK,DKRDS,no,minor,minor,minor,minor,minor,major
DNK,DKRKG,no,minor,minor,minor,minor,minor,minor
DNK,DKSAE,no,minor,minor,minor,minor,minor,minor
DNK,DKSDV,no,minor,minor,minor,minor,minor,minor
DNK,DKSKA,yes,major,major,major,major,major,major
DNK,DKSLR,no,minor,minor,minor,minor,minor,minor
DNK,DKSOB,no,minor,minor,minor,minor,minor,minor
DNK,DKSRG,no,minor,minor,minor,minor,minor,major
DNK,DKSTD,yes,minor,minor,major,major,major,major
DNK,DKSTU,no,minor,minor,minor,minor,minor,minor
DNK,DKTHM,no,minor,minor,major,minor,minor,major
DNK,DKTHN,yes,major,major,major,major,major,major
DNK,DKTHP,no,major,major,major,major,major,major
DNK,DKTHY,no,minor,minor,major,minor,minor,minor
DNK,DKTMD,yes,minor,major,major,major,major,major
DNK,DKUDS,no,minor,minor,minor,minor,minor,minor
DNK,DKVBK,no,minor,minor,minor,minor,minor,minor
DNK,DKVES,no,minor,minor,minor,minor,minor,major
ESP,ESLCG,no,minor,minor,major,minor,minor,minor
ESP,ESPAS,no,minor,minor,minor,minor,minor,minor
ESP,ESSNI,no,minor,minor,major,minor,minor,minor
FRA,FR2GX,no,minor,minor,major,major,major,major
FRA,FRAA2,no,minor,minor,minor,minor,major,major
FRA,FRBES,yes,minor,minor,minor,minor,minor,minor
FRA,FRBM7,no,minor,minor,minor,minor,minor,major
FRA,FRBOL,yes,major,major,major,major,major,major
FRA,FRCAY,no,minor,minor,minor,minor,major,major
FRA,FRCER,yes,major,major,major,major,major,major
FRA,FRCFR,no,minor,minor,minor,minor,minor,minor
FRA,FRCIF,no,minor,minor,minor,major,major,major
FRA,FRCOC,yes,minor,minor,minor,minor,minor,major
FRA,FRCQF,no,minor,minor,major,major,major,major
FRA,FRCQV,no,minor,minor,minor,minor,minor,major
FRA,FRCTA,no,minor,minor,minor,minor,minor,minor
FRA,FRDIL,no,minor,minor,minor,minor,minor,minor
FRA,FRDKK,yes,minor,major,major,major,major,major
